Auteur,Degré,Clustering,Centralité Intermédiarité,Excentricité,Domaine_Dominant
X. Sharon Qi,0.5,0.0,0.0,5.0,IA
Koji Yoshimura,0.5,0.0,0.0,5.0,Vision par Ordinateur
Prateek Munjal,0.5,0.0,0.0,5.0,Physique (Autre)
Michelle A Neben Wittich,0.5,0.0,0.0,5.0,Machine Learning
Haifeng Wang,1.5,0.0,4.459767666276093e-08,5.0,Réseaux de Neurones
Jürgen Kurths,0.5,0.0,0.0,5.0,Physique (Autre)
A. Kehagias,1.5,0.0666666666666666,1.0241966386104195e-08,5.0,Maths (Proba)
L. M. Dunn,1.5,0.0666666666666666,0.0,5.0,Informatique (Autre)
Ludwig Sidenmark,0.5,0.0,0.0,5.0,Maths (Autre)
Keyan Liu,0.5,0.0,0.0,5.0,Traitement du Langage
John Quinn,1.5,0.0,1.0171296480621097e-06,5.0,Informatique (Autre)
T. McElroy,2.0,0.0357142857142857,3.920213202945888e-07,5.0,Machine Learning
M. Murdoch,0.5,0.0,0.0,5.0,IA
Ahmed Irfan,0.5,0.0,0.0,5.0,Informatique (Autre)
R. Haenni,2.5,0.0222222222222222,1.7938067742306885e-07,5.0,Machine Learning
C. Y. Prescott,1.5,0.0,3.6589580076906724e-07,5.0,Maths (Autre)
Francesco Zamponi,0.5,0.0,0.0,5.0,Autre
Dave Chaney,10.0,0.0525641025641025,1.8748385173239512e-06,5.0,Informatique (Autre)
Christina Isaicu,0.5,0.0,0.0,5.0,Informatique (Autre)
Zhexian Zhou,0.5,0.0,0.0,5.0,IA
Partha Parthasarathy,0.5,0.0,0.0,5.0,IA
John Kim,0.5,0.0,0.0,5.0,Traitement du Langage
Felipe Avila,3.0,0.0909090909090909,4.845219905291742e-07,5.0,Physique (Autre)
Kirk D. Borne,2.0,0.0,1.498638226848925e-07,5.0,IA
Henkjan Huisman,0.5,0.0,0.0,5.0,Machine Learning
R. Orosco,1.5,0.0666666666666666,4.0357388542133776e-08,5.0,Maths (Autre)
Marina Rejkuba,1.0,0.1666666666666666,0.0,5.0,IA
Radovan Milincic,1.0,0.0,0.0,5.0,Traitement du Langage
C. W. Wang,1.0,0.0,5.978550987606468e-09,5.0,Réseaux de Neurones
Richard J. Rand,0.5,0.0,0.0,5.0,Machine Learning
Amit Sheth,0.5,0.0,0.0,5.0,Maths (Autre)
K. Bolejko,0.5,0.0,0.0,5.0,Vision par Ordinateur
Shunzhou Wang,0.5,0.0,0.0,5.0,Maths (Autre)
Keith E. Morse,0.5,0.0,0.0,5.0,IA
J. Peloton,0.5,0.0,0.0,5.0,Physique (Autre)
Magnus Lundborg,0.5,0.0,0.0,5.0,Informatique (Autre)
Changsheng Luo,0.5,0.0,0.0,5.0,Machine Learning
Geoffrey Beck,0.5,0.0,0.0,5.0,Informatique (Autre)
Oscar Gonzalez de Dios,0.5,0.0,0.0,5.0,Traitement du Langage
Zeen Wang,1.5,0.1333333333333333,9.805017242570105e-08,5.0,Autre
E. Bowen,5.5,0.0303030303030303,4.292461198929232e-06,5.0,Machine Learning
P. V. Shanmuganathan,1.0,0.0,0.0,5.0,Physique (Autre)
Kiyoe Kawauchi,2.5,0.0,7.022247672239247e-08,5.0,Maths (Autre)
D. P. Scriven,0.5,0.0,0.0,5.0,Autre
Justin Lee,13.5,0.0328441649196366,3.3185067877639085e-05,5.0,Machine Learning
B. Bahr-Kalus,1.0,0.1666666666666666,0.0,5.0,Machine Learning
Daniel Walker,1.5,0.0,1.9977381526814497e-08,5.0,Machine Learning
Anton Alexandrov,2.0,0.2142857142857142,0.0,5.0,Machine Learning
Runzhou Zhao,0.5,0.0,0.0,5.0,Physique (Autre)
T. Zivko,0.5,0.0,0.0,5.0,Informatique (Autre)
Ryan Edward Mitchell,0.5,0.0,0.0,5.0,IA
Martin Kroner,2.5,0.0666666666666666,1.2215951983307605e-07,5.0,Maths (Autre)
J. Farihi,0.5,0.0,0.0,5.0,Stats & ML
Yu Si,0.5,0.0,0.0,5.0,Maths (Autre)
Chuzhe Cao,0.5,0.0,0.0,5.0,Maths (Autre)
James C. Horst,0.5,0.0,0.0,5.0,Réseaux de Neurones
Rob Cooper,0.5,0.0,0.0,5.0,Vision par Ordinateur
Andrew Thornton,0.5,0.0,0.0,5.0,Machine Learning
Zhijing Jin,3.0,0.0454545454545454,0.0,5.0,Traitement du Langage
T. Kikuchi,0.5,0.0,0.0,5.0,Machine Learning
Berend Smit,0.5,0.0,0.0,5.0,Physique Quantique
A. Garabedian,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
Kalpana Raja,0.5,0.0,0.0,5.0,Vision par Ordinateur
Tianyi Bai,0.5,0.0,0.0,5.0,Machine Learning
Mauro E. S. Morales,0.5,0.0,0.0,5.0,Physique Quantique
Zehua Li,1.0,0.1666666666666666,0.0,5.0,Machine Learning
Dejan Štepec,0.5,0.0,0.0,5.0,Stats & ML
Jack Sander,0.5,0.0,0.0,5.0,Traitement du Langage
Shichao Lv,0.5,0.0,0.0,5.0,Réseaux de Neurones
M. Pagano,0.5,0.0,0.0,5.0,Physique (Autre)
M. Leila Mays,0.5,0.0,0.0,5.0,IA
Jamey Zhang,1.0,0.0,0.0,5.0,Traitement du Langage
Haoshen Li,0.5,0.0,0.0,5.0,IA
Jason J. Kong,0.5,0.0,0.0,5.0,IA
M. Relich,3.5,0.0109890109890109,2.446559506097401e-07,5.0,Machine Learning
Bao-Xi Sun,0.5,0.0,0.0,5.0,Autre
Matias Korman,0.5,0.0,0.0,5.0,Machine Learning
Nathan Siles,11.0,0.0317124735729386,3.060799826926086e-06,5.0,Machine Learning
Anoop Cherian,1.5,0.0666666666666666,2.6207635173136623e-08,5.0,Machine Learning
O. Chkvorets,1.0,0.0,2.6177387368875322e-08,5.0,Vision par Ordinateur
Tsachi Blau,0.5,0.0,0.0,5.0,Vision par Ordinateur
Inés García-Redondo,0.5,0.0,0.0,5.0,Vision par Ordinateur
Mark O. Riedl,0.5,0.0,0.0,5.0,Autre
E. Koptelova,0.5,0.0,0.0,5.0,Maths (Autre)
Xihuan Zeng,1.0,0.0,0.0,5.0,Traitement du Langage
Masako Koga,0.5,0.0,0.0,5.0,Informatique (Autre)
Michele T. Bannister,1.0,0.0,0.0,5.0,Physique (Autre)
P. T. Le,0.5,0.0,0.0,5.0,IA
Marcus Müller,0.5,0.0,0.0,5.0,Vision par Ordinateur
M. Mogarkar,0.5,0.0,0.0,5.0,Informatique (Autre)
Andreas S. Tolias,1.0,0.1666666666666666,0.0,5.0,Physique (Autre)
J. Mans,3.5,0.0219780219780219,3.28014084516326e-06,5.0,Informatique (Autre)
Annie J. Park,2.0,0.0357142857142857,2.0367180297853338e-07,5.0,Machine Learning
Chaolong Ying,0.5,0.0,0.0,5.0,Vision par Ordinateur
Jonas Pätschke,0.5,0.0,0.0,5.0,Traitement du Langage
John Richer,0.5,0.0,0.0,5.0,Informatique (Autre)
Ryan Po,0.5,0.0,0.0,5.0,Informatique (Autre)
Steven Huang,1.0,0.1666666666666666,0.0,5.0,Autre
Nicholas Nelson,0.5,0.0,0.0,5.0,Informatique (Autre)
Eileen Ryan,0.5,0.0,0.0,5.0,Traitement du Langage
S. I. Alvis,0.5,0.0,0.0,5.0,Maths (Autre)
J. Hammond,0.5,0.0,0.0,5.0,Machine Learning
Suyash Choudhury,0.5,0.0,0.0,5.0,Économie
Alvaro A Cardenas,0.5,0.0,0.0,5.0,Vision par Ordinateur
Zhewen Zhang,0.5,0.0,0.0,5.0,Machine Learning
Siyang Sun,0.5,0.0,0.0,5.0,IA
A. Mehner,0.5,0.0,0.0,5.0,Machine Learning
Zichao Zhang,0.5,0.0,0.0,5.0,Machine Learning
Yikun Jiang,3.0,0.0454545454545454,8.116464869090123e-07,5.0,Machine Learning
Paula Rodriguez,3.5,0.0989010989010989,1.3150903441783155e-06,5.0,Autre
S. Garrappa,2.0,0.0357142857142857,2.4954438515578665e-08,5.0,Maths (Autre)
R. C. Shellard,7.0,0.0079365079365079,9.063835022971034e-06,5.0,Machine Learning
Lindsey Lisalda,0.5,0.0,0.0,5.0,Traitement du Langage
Shidu Dong,2.0,0.0,0.0,5.0,IA
S. Jolly,2.5,0.0888888888888888,7.419087566518101e-09,5.0,Informatique (Autre)
Joshua Romoff,3.0,0.106060606060606,4.652643426084069e-08,5.0,IA
Przemysław Kazienko,1.0,0.0,2.662285858434643e-08,5.0,Traitement du Langage
Dominic Kite,0.5,0.0,0.0,5.0,Robotique
Antony A. Stark,3.5,0.0,3.495372766337823e-06,5.0,Informatique (Autre)
S. Motschwiller,0.5,0.0,0.0,5.0,Maths (Autre)
J. L. Navarro,1.0,0.0,5.480963682913398e-09,5.0,Stats & ML
J. Pinzino,2.5,0.0222222222222222,2.3503824664317108e-08,5.0,Machine Learning
Ripeng Gao,0.5,0.0,0.0,5.0,Maths (Autre)
Sunmook Choi,0.5,0.0,0.0,5.0,Machine Learning
M. Beneke,2.5,0.0888888888888888,7.419087566518101e-09,5.0,Informatique (Autre)
Kenji Kiuchi,2.0,0.0357142857142857,4.130795900891826e-07,5.0,Informatique (Autre)
Ruiyu Fang,0.5,0.0,0.0,5.0,Autre
Chang Gong,0.5,0.0,0.0,5.0,Maths (Autre)
Shih-Hua,0.5,0.0,0.0,5.0,IA
John G. Learned,1.0,0.1666666666666666,0.0,5.0,Vision par Ordinateur
Vicky Charisi,1.0,0.1666666666666666,0.0,5.0,IA
M. Cipriani,0.5,0.0,0.0,5.0,Réseaux de Neurones
Bo-Hsiang Tseng,0.5,0.0,0.0,5.0,Statistiques (Autre)
S. Kishida,0.5,0.0,0.0,5.0,Informatique (Autre)
Carlos Mera Acosta,1.5,0.0,1.3266937770595176e-08,5.0,Maths (Autre)
and Pietro Liò,0.5,0.0,0.0,5.0,Autre
I. C. Cloët,0.5,0.0,0.0,5.0,IA
Tiago Azevedo,0.5,0.0,0.0,5.0,Autre
Shawn Westerdale,0.5,0.0,0.0,5.0,Physique (Autre)
GlueX Collaboration,0.5,0.0,0.0,5.0,Machine Learning
John Torous,0.5,0.0,0.0,5.0,Traitement du Langage
Tony Wang,8.0,0.1512096774193548,8.371743206225801e-06,5.0,IA
Andrew Joe,0.5,0.0,0.0,5.0,Traitement du Langage
Xitai Jiang,0.5,0.0,0.0,5.0,Machine Learning
Simon Schnake,0.5,0.0,0.0,5.0,Réseaux de Neurones
Xiaoli Ma,0.5,0.0,0.0,5.0,Maths (Autre)
Paweł Bielewicz,3.0,0.0909090909090909,4.845219905291742e-07,5.0,Physique (Autre)
John LaGrone,0.5,0.0,0.0,5.0,Machine Learning
G. Sajot,1.0,0.0,4.1130574501835335e-09,5.0,Machine Learning
Hancheng Liu,0.5,0.0,0.0,5.0,IA
Shiyu Ye,0.5,0.0,0.0,5.0,Traitement du Langage
Pratyusava Baral,1.0,0.0,0.0,5.0,IA
Zhaorui Ni,0.5,0.0,0.0,5.0,Vision par Ordinateur
Owen Matthiessen,0.5,0.0,0.0,5.0,Physique (Autre)
Lijuan,1.0,0.0,1.3637230722451934e-07,5.0,Physique (Autre)
Jean-Christophe Hamilton,1.5,0.0,4.167221163697832e-07,5.0,Traitement du Langage
Thomas K. Warburton,0.5,0.0,0.0,5.0,Machine Learning
Yixi Chen,2.0,0.0357142857142857,7.63539276249503e-08,5.0,Informatique (Autre)
Md Kishor Morol,0.5,0.0,0.0,5.0,Vision par Ordinateur
D. Martín Domínguez,2.0,0.1071428571428571,1.3953702193703066e-07,5.0,Physique (Autre)
Sara Taskinen,0.5,0.0,0.0,5.0,Informatique (Autre)
T. H. Burnett,0.5,0.0,0.0,5.0,Maths (Autre)
Amanda Coston,2.5,0.1333333333333333,4.174369223619578e-07,5.0,Informatique (Autre)
Cultural General Intelligence Team,0.5,0.0,0.0,5.0,Informatique (Autre)
Alexander Lukin,0.5,0.0,0.0,5.0,Maths (Autre)
Tsuneyoshi Kamae,0.5,0.0,0.0,5.0,Vision par Ordinateur
Royce R. Sato,0.5,0.0,0.0,5.0,Traitement du Langage
Ginestra Bianconi,0.5,0.0,0.0,5.0,Autre
Makoto Sakaguchi,3.5,0.0989010989010989,1.1837395277325411e-06,5.0,Informatique (Autre)
Areum Kim,2.0,0.0,2.6240511985520243e-09,5.0,Autre
Dhavalkumar Limbachiya,0.5,0.0,0.0,5.0,Vision par Ordinateur
Koert Chen,0.5,0.0,0.0,5.0,Autre
Xingpao Suo,0.5,0.0,0.0,5.0,Physique (Autre)
Ronnie Rajan,0.5,0.0,0.0,5.0,Physique (Autre)
K. E. Smith,0.5,0.0,0.0,5.0,Traitement du Langage
Martin S. Sloth,3.5,0.0769230769230769,5.294182301440742e-07,5.0,Physique (Autre)
C. W. Jamesa,0.5,0.0,0.0,5.0,Physique (Autre)
Nir Minerbi,1.0,0.1666666666666666,0.0,5.0,IA
Mohammad Abdul Hafeez Khan,0.5,0.0,0.0,5.0,Machine Learning
SooBong Kim,1.0,0.1666666666666666,0.0,5.0,Vision par Ordinateur
Tao Zeng,0.5,0.0,0.0,5.0,Physique Quantique
N. Zaviyalov,0.5,0.0,0.0,5.0,Vision par Ordinateur
Song Dai,0.5,0.0,0.0,5.0,Maths (Autre)
Yunteng Tan,0.5,0.0,0.0,5.0,Traitement du Langage
Mikhail Bilenko,0.5,0.0,0.0,5.0,Informatique (Autre)
M. A. C. Potenza,1.5,0.0666666666666666,1.0241966386104195e-08,5.0,Maths (Proba)
W. Nicholson Price,0.5,0.0,0.0,5.0,Traitement du Langage
Karan Jani,0.5,0.0,0.0,5.0,Machine Learning
Ken W. Smith,1.0,0.0,1.666691495927353e-08,5.0,Maths (Proba)
David Barrado y Navascues,0.5,0.0,0.0,5.0,Autre
John M. Good,0.5,0.0,0.0,5.0,Machine Learning
Sandy Han Huang,0.5,0.0,0.0,5.0,Stats & ML
Michael Tryfan Matthews,0.5,0.0,0.0,5.0,Machine Learning
David Pena Hidalgo,7.0,0.0185185185185185,4.843228452955373e-06,5.0,Vision par Ordinateur
S. Jimenez,0.5,0.0,0.0,5.0,Physique (Autre)
Sophie Hourihane,0.5,0.0,0.0,5.0,IA
Michael J. Black,4.0,0.0916666666666666,1.6912572675664705e-07,5.0,Machine Learning
H. Briand,2.5,0.0888888888888888,7.419087566518101e-09,5.0,Informatique (Autre)
Daejin Jo,0.5,0.0,0.0,5.0,Machine Learning
J. T. Wei,2.5,0.0888888888888888,7.419087566518101e-09,5.0,Informatique (Autre)
Orlando Marquez Ayala,1.0,0.1666666666666666,0.0,5.0,Stats & ML
Chi Ian Jess Ip,0.5,0.0,0.0,5.0,Traitement du Langage
Patrick Dunlop,0.5,0.0,0.0,5.0,Machine Learning
Daniel B. Zucker,1.0,0.1666666666666666,0.0,5.0,Machine Learning
Simon Dupourqué,1.5,0.0,1.1098148178234625e-07,5.0,Machine Learning
P. Oliva,1.0,0.0,5.480963682913398e-09,5.0,Stats & ML
Douglas B. Tweed,0.5,0.0,0.0,5.0,Machine Learning
S. Chernichenko,1.0,0.0,5.82581878916244e-06,5.0,Réseaux de Neurones
Marco Tranzatto,0.5,0.0,0.0,5.0,Stats & ML
Juliette Becker,1.5,0.0,1.044697413021823e-07,5.0,Maths (Autre)
Maokai Lai,0.5,0.0,0.0,5.0,Réseaux de Neurones
Johannah Cohoon,0.5,0.0,0.0,5.0,Informatique (Autre)
Joaquim P. Jossy,0.5,0.0,0.0,5.0,Physique (Autre)
Conor Delaney,2.0,0.0357142857142857,2.0367178876767866e-07,5.0,Machine Learning
Committee on Radio Astronomy Frequencies,0.5,0.0,0.0,5.0,Vision par Ordinateur
Huangjie Zheng,1.5,0.0666666666666666,0.0,5.0,Autre
Courtney Paquette,0.5,0.0,0.0,5.0,Informatique (Autre)
Pablo Vera,1.5,0.0,5.715220297020099e-08,5.0,Maths (Autre)
E. Wallace,0.5,0.0,0.0,5.0,Maths (Autre)
Steffen J. Glaser,0.5,0.0,0.0,5.0,Maths (Autre)
O. Benhar,0.5,0.0,0.0,5.0,IA
Martin Dehn,1.0,0.1666666666666666,0.0,5.0,Maths (Proba)
Hiram Bollaert,0.5,0.0,0.0,5.0,Machine Learning
Wu Xuefeng,0.5,0.0,0.0,5.0,Machine Learning
William T. Reach,1.0,0.0,1.88437510928452e-07,5.0,Traitement du Langage
Puxiang Lai,0.5,0.0,0.0,5.0,Ingénierie (Signal)
Kenneth A. Loparo,0.5,0.0,0.0,5.0,Machine Learning
Zhihui He,2.0,0.1428571428571428,4.5477296595208834e-08,5.0,Vision par Ordinateur
D. Winney,0.5,0.0,0.0,5.0,IA
David Schneider,1.0,0.1666666666666666,0.0,5.0,Machine Learning
Guillaume Allain,0.5,0.0,0.0,5.0,Machine Learning
G. Caliandro,0.5,0.0,0.0,5.0,Maths (Autre)
Santhawat Thanyawong,0.5,0.0,0.0,5.0,Traitement du Langage
Randy Doriese,1.5,0.0,6.221478798806859e-08,5.0,Informatique (Autre)
R. H. Maruyama,1.0,0.0,1.1671611446217869e-06,5.0,Machine Learning
Sana Syed,0.5,0.0,0.0,5.0,Informatique (Autre)
M. Büsken,2.5,0.0,1.0567815422746209e-07,5.0,Informatique (Autre)
Andrew F. Tubbiolo,0.5,0.0,0.0,5.0,Traitement du Langage
Kamal Dingle,0.5,0.0,0.0,5.0,Maths (Stats)
Benedikt Schäfer,0.5,0.0,0.0,5.0,Autre
E. Rondio,3.0,0.0454545454545454,9.92695959212142e-07,5.0,Physique (Autre)
Xiaozhou Ye,2.0,0.1785714285714285,1.7026269460984622e-07,5.0,Informatique (Autre)
Niklas Hjuler,0.5,0.0,0.0,5.0,IA
Matthew B. Squires,0.5,0.0,0.0,5.0,Traitement du Langage
K. Almeida Cheminant,2.5,0.0,1.0567815422746209e-07,5.0,Informatique (Autre)
Dragana Ilić,0.5,0.0,0.0,5.0,Machine Learning
V. Keus,1.5,0.0666666666666666,1.0241966386104195e-08,5.0,Maths (Proba)
Craig Gidney,6.5,0.0523076923076923,3.2236605420621345e-06,5.0,Traitement du Langage
W. Arcus,0.5,0.0,0.0,5.0,IA
Amon Lahr,0.5,0.0,0.0,5.0,Physique (Autre)
V. Miranda,0.5,0.0,0.0,5.0,Vision par Ordinateur
Mary P. Gronberg,0.5,0.0,0.0,5.0,Vision par Ordinateur
Jaime Ruiz-Zapatero,0.5,0.0,0.0,5.0,Machine Learning
Chenxu Wu,1.0,0.0,2.6023709409628282e-08,5.0,Maths (Autre)
N. Bleurvacq,0.5,0.0,0.0,5.0,Vision par Ordinateur
Mingtao Xu,0.5,0.0,0.0,5.0,Autre
Lauren Serio,11.0,0.0317124735729386,3.0607995995524107e-06,5.0,Machine Learning
Thomas E. Cowan,0.5,0.0,0.0,5.0,Machine Learning
J. A. Dunmore,0.5,0.0,0.0,5.0,Maths (Autre)
N. Shutty,1.5,0.0666666666666666,4.0357388542133776e-08,5.0,Maths (Autre)
Yingchen Yu,0.5,0.0,0.0,5.0,Vision par Ordinateur
Andrew Hoblitzell,2.0,0.0357142857142857,7.63539276249503e-08,5.0,Informatique (Autre)
Michael Hinczewski,0.5,0.0,0.0,5.0,Machine Learning
Davis Liang,1.5,0.0666666666666666,5.165037464394118e-07,5.0,Vision par Ordinateur
Valentina Granata,7.0,0.0185185185185185,4.843227998208022e-06,5.0,Vision par Ordinateur
Matthew Trepte,2.0,0.0714285714285714,2.106369265675312e-07,5.0,Physique (Autre)
Yau Wah,0.5,0.0,0.0,5.0,Machine Learning
Jose Luis Ortiz,0.5,0.0,0.0,5.0,Vision par Ordinateur
Der-Shiun Wang,0.5,0.0,0.0,5.0,Traitement du Langage
Z. Cai,0.5,0.0,0.0,5.0,Physique (Autre)
Euijin Lee,2.0,0.0,2.6240511985520243e-09,5.0,Autre
Bruno Olshausen,1.0,0.1666666666666666,0.0,5.0,Physique (Autre)
Jörg Behler,1.5,0.0,1.3266937770595176e-08,5.0,Maths (Autre)
T. T. Yu,2.5,0.0444444444444444,2.3608436094946228e-08,5.0,Machine Learning
V. P. Luzio,2.5,0.0222222222222222,1.7938067742306885e-07,5.0,Machine Learning
Eva Schinnerer,2.0,0.1071428571428571,1.0452752121636877e-06,5.0,Machine Learning
Ismet Bayraktaroglu,0.5,0.0,0.0,5.0,IA
A. Schöning,1.5,0.0666666666666666,1.0241966386104195e-08,5.0,Maths (Proba)
Skander Moalla,2.5,0.1555555555555555,1.195858658320503e-06,5.0,Machine Learning
David Smalling,0.5,0.0,0.0,5.0,Réseaux de Neurones
Roger W. Romani,1.0,0.0,9.640210407724228e-08,5.0,Autre
Shujuan Weng,0.5,0.0,0.0,5.0,Vision par Ordinateur
Md Abdullah-Al Kaiser,1.0,0.1666666666666666,0.0,5.0,Vision par Ordinateur
Denis Burgarella,2.5,0.0,1.669536544568473e-07,5.0,Informatique (Autre)
Guen Prawiroatmodjo,0.5,0.0,0.0,5.0,Machine Learning
C. M. Lisse,0.5,0.0,0.0,5.0,Traitement du Langage
Sahil Garg,0.5,0.0,0.0,5.0,Stats & ML
Yihong Lin,0.5,0.0,0.0,5.0,Vision par Ordinateur
Nicolas Gauthier,7.0,0.0185185185185185,4.843228452955373e-06,5.0,Vision par Ordinateur
F. Y. Li,0.5,0.0,0.0,5.0,Informatique (Autre)
Ruocheng Yin,2.5,0.1333333333333333,0.0,5.0,Informatique (Autre)
Yerim Kim,1.5,0.0666666666666666,1.6152823079096382e-08,5.0,Traitement du Langage
Shabeeb Khalid,1.0,0.0,2.273175141453976e-07,5.0,Maths (Autre)
Andrija Petrovic,0.5,0.0,0.0,5.0,Autre
Stefan Waterval,2.5,0.2222222222222222,0.0,5.0,Physique (Autre)
John Briol,0.5,0.0,0.0,5.0,Stats & ML
Gaode Chen,0.5,0.0,0.0,5.0,Vision par Ordinateur
Yousef A. Almohsen,11.0,0.0317124735729386,3.0607995995524107e-06,5.0,Machine Learning
Sanjit A. Seshia,2.5,0.1777777777777777,9.398052469578033e-08,5.0,Informatique (Autre)
Antoine Lesage-Landry,0.5,0.0,0.0,5.0,Machine Learning
B. Grinyov,0.5,0.0,0.0,5.0,Vision par Ordinateur
Colin Schultz,0.5,0.0,0.0,5.0,Inconnu (Propagation)
Tanja Amerstorfer,0.5,0.0,0.0,5.0,Robotique
Alessandro Cimatti,0.5,0.0,0.0,5.0,Autre
Linhan Yang,0.5,0.0,0.0,5.0,Économie
S. Seidel,3.0,0.0303030303030303,3.8699204196746e-07,5.0,Machine Learning
K. Sasikumar Raja,0.5,0.0,0.0,5.0,Économie
Apurv Vivek,0.5,0.0,0.0,5.0,Maths (Autre)
Lilian Teddy Nabukeera,0.5,0.0,0.0,5.0,Traitement du Langage
Menghang Dong,0.5,0.0,0.0,5.0,Machine Learning
Nils W. Halverson,3.0,0.0,2.233913392046816e-06,5.0,Informatique (Autre)
Prokopis Prokopidis,2.0,0.0357142857142857,7.63539276249503e-08,5.0,Informatique (Autre)
M. Perl,2.5,0.0888888888888888,7.419087566518101e-09,5.0,Informatique (Autre)
Emilio Xosé Rodríguez Fernández,0.5,0.0,0.0,5.0,Vision par Ordinateur
Nathan Findlay,0.5,0.0,0.0,5.0,Informatique (Autre)
Antonio Racioppi,3.0,0.0909090909090909,4.845219905291742e-07,5.0,Physique (Autre)
Emily McMilin,1.5,0.2,0.0,5.0,IA
Colin Paterson,1.0,0.0,7.275526292538355e-10,5.0,Informatique (Autre)
Liam A. Cohen,1.0,0.1666666666666666,0.0,5.0,IA
Qiyang Cao,0.5,0.0,0.0,5.0,Autre
Peter Szirovicza,1.0,0.0,1.8797764766986802e-07,5.0,Autre
Jessica Dai,0.5,0.0,0.0,5.0,Vision par Ordinateur
Chuangsheng Zheng,0.5,0.0,0.0,5.0,Physique (Autre)
G. Mahout,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
Edwin Kite,0.5,0.0,0.0,5.0,Physique (Autre)
Zezhu Zeng,0.5,0.0,0.0,5.0,Réseaux de Neurones
J. Rożynek,0.5,0.0,0.0,5.0,Physique (Autre)
Vida Saeedzadeh,0.5,0.0,0.0,5.0,Machine Learning
Yashvi Sharma,2.5,0.0222222222222222,2.912037473379314e-07,5.0,Vision par Ordinateur
Miguel J. Carballido,0.5,0.0,0.0,5.0,Machine Learning
Julien Mille,0.5,0.0,0.0,5.0,Vision par Ordinateur
Timothy A. Davis,1.5,0.0,1.0232572549284669e-06,5.0,Machine Learning
Francesca Lewis,0.5,0.0,0.0,5.0,Machine Learning
Chloe Schnaible,3.0,0.0151515151515151,2.639274612192821e-07,5.0,Machine Learning
Maria Acosta Flechas,0.5,0.0,0.0,5.0,Machine Learning
Ben Tofflemire,0.5,0.0,0.0,5.0,Machine Learning
Leheng Zhang,1.0,0.0,0.0,5.0,Machine Learning
P. Gras,2.5,0.0,1.8075247680826576e-06,5.0,Informatique (Autre)
Mederic Boquien,6.0,0.036231884057971,5.295020400808426e-06,5.0,Machine Learning
Yapei Xie,0.5,0.0,0.0,5.0,Informatique (Autre)
Jessica Lu,0.5,0.0,0.0,5.0,IA
R. Wall,1.0,0.0,1.2399355320269478e-08,5.0,Stats & ML
Danuta Sosnowska,1.0,0.0,5.17728038218479e-09,5.0,Machine Learning
Zhen Song,0.5,0.0,0.0,5.0,Autre
Christian Chapman-Bird,1.0,0.0,0.0,5.0,Physique (Autre)
Joss Bland-Hwathorn,0.5,0.0,0.0,5.0,IA
Edvin Fako,2.0,0.1071428571428571,1.7783820567274231e-06,5.0,Physique (Autre)
M. S. Khan,0.5,0.0,0.0,5.0,Machine Learning
Anna Campoy-Ordaz,0.5,0.0,0.0,5.0,Informatique (Autre)
R. Piegaia,3.0,0.0,4.669147529057227e-06,5.0,Stats & ML
Rike Bostelmann,0.5,0.0,0.0,5.0,Machine Learning
E. C. Chabert,1.5,0.0,2.9477543961320407e-08,5.0,Physique (Autre)
Robert Eisenstein,0.5,0.0,0.0,5.0,Traitement du Langage
Alexander Fritz,0.5,0.0,0.0,5.0,Machine Learning
C. Adloff,0.5,0.0,0.0,5.0,Réseaux de Neurones
Alekhya Munagala,0.5,0.0,0.0,5.0,Vision par Ordinateur
S. Mandelli,0.5,0.0,0.0,5.0,Machine Learning
Xinyue Alice Zhang,2.0,0.0,3.7288359067133576e-08,5.0,Machine Learning
Catherine Cang,0.5,0.0,0.0,5.0,Stats & ML
Ningran Li,0.5,0.0,0.0,5.0,Autre
Manlio De Domenico,2.0,0.0357142857142857,1.1367943386630941e-07,5.0,IA
Pan Haiwu,0.5,0.0,0.0,5.0,Machine Learning
J. Insler,1.0,0.0,3.298463724377143e-08,5.0,IA
Andre Wenzlawski,0.5,0.0,0.0,5.0,Stats & ML
Waldemar Herr,2.0,0.0357142857142857,1.16109113434959e-07,5.0,Machine Learning
Evis Sala,0.5,0.0,0.0,5.0,Physique (Autre)
Niket Agarwal,1.5,0.0666666666666666,5.498019817196109e-08,5.0,Vision par Ordinateur
Valentin Chardonnet,0.5,0.0,0.0,5.0,Vision par Ordinateur
Simeng Han,3.5,0.1538461538461538,4.177923074166756e-06,5.0,Vision par Ordinateur
Jaehun Cha,0.5,0.0,0.0,5.0,Autre
Xianqi Yin,0.5,0.0,0.0,5.0,Maths (Autre)
Bernd Bruegmann,1.0,0.0,6.251934525636216e-10,5.0,Machine Learning
Thuy Nuong Tran,0.5,0.0,0.0,5.0,Informatique (Autre)
Richard A. Shaw,12.0,0.0398936170212766,9.93440335150808e-06,5.0,Informatique (Autre)
Lizhen Tan,0.5,0.0,0.0,5.0,Machine Learning
Youngsik Yoon,0.5,0.0,0.0,5.0,Économie
A. Abchiche,0.5,0.0,0.0,5.0,Informatique (Autre)
K. Luk,2.0,0.0,1.5978609724243142e-07,5.0,Machine Learning
Y. A. Yatsunenko,1.0,0.0,4.1130574501835335e-09,5.0,Machine Learning
