Auteur,Degré,Clustering,Centralité Intermédiarité,Excentricité,Domaine_Dominant
P. Palud,6.5,0.0892307692307692,2.6569941269372066e-07,4.0,Vision par Ordinateur
B. X. Zhang,14.0,0.1019480519480519,6.328868039418012e-06,4.0,Vision par Ordinateur
S. P. Fanning,2.0,0.0,7.214571695612906e-08,4.0,Informatique (Autre)
I. A. Bilenko,17.0,0.025460930640913,1.0102669875777792e-05,4.0,Machine Learning
Thanumalayan Sankaranarayana Pillai,64.0,0.079626225490196,2.9480775992851704e-05,4.0,Machine Learning
Martin S. Gilbert,1.0,0.0,2.7724349038749097e-08,4.0,IA
J. Dawson,7.5,0.0505747126436781,1.6805594214019948e-06,4.0,Machine Learning
Myriam Khan,58.0,0.0882221227048813,1.732287637423724e-05,4.0,Machine Learning
I. Ota,6.5,0.0892307692307692,2.6569941269372066e-07,4.0,Vision par Ordinateur
Ethan Polster,13.0,0.0497737556561085,5.963759122096235e-06,4.0,Informatique (Autre)
Yunzhuo Hao,1.0,0.1666666666666666,0.0,4.0,Vision par Ordinateur
Zhong-Bo Kang,1.0,0.0,1.0425399210589605e-08,4.0,Maths (Autre)
Qiufeng Wang,12.5,0.0906122448979591,6.247000783332624e-06,4.0,Machine Learning
Jiajun Zhang,11.5,0.0946859903381642,1.3782432688458355e-05,4.0,Maths (Autre)
J. -M. Isac,8.0,0.0141129032258064,1.2652842542593137e-06,4.0,Machine Learning
Yunzhi Lin,1.0,0.0,1.7968042129723472e-06,4.0,Maths (Autre)
F. Raison,1.0,0.0,2.090894895445672e-06,4.0,Machine Learning
Samira Daruki,64.0,0.079626225490196,2.948077053588349e-05,4.0,Machine Learning
Ujjwala Anantheswaran,24.5,0.1647380601725226,5.813915322505636e-06,4.0,Machine Learning
Arjan Verweij,6.0,0.1123188405797101,6.719635052832018e-07,4.0,Autre
Juntao Dai,366.0,0.0048379144582768,0.0014207224594429,4.0,Machine Learning
F. Machefert,19.5,0.0329670329670329,2.7440215490059927e-05,4.0,Machine Learning
J. C. Díaz-Vélez,6.0,0.0217391304347826,7.68404879636364e-06,4.0,Vision par Ordinateur
Yin Li,64.0,0.0770220588235294,0.0001844516809796,4.0,Machine Learning
Doru Cojoc,24.5,0.1647380601725226,5.813915322505636e-06,4.0,Machine Learning
Yogesh Kalley,58.0,0.0882221227048813,1.7322874555247836e-05,4.0,Machine Learning
H. N. Isa,7.0,0.0105820105820105,9.823151003729436e-07,4.0,Machine Learning
